revenue|sales|city
451903|3|Oxford
451967|4|Oxford
3181|3|London
3211|2|London
3213|3|London
900799|4|Durham
1349587|1|Cambridge
900817|3|Durham
900820|2|Durham
3254|2|London
900838|2|Durham
3271|4|London
452063|3|Oxford
3282|3|London
1349653|3|Cambridge
452099|4|Oxford
452102|2|Oxford
900892|3|Durham
1349682|1|Cambridge
3324|3|London
900904|2|Durham
452121|1|Oxford
900917|1|Durham
3353|3|London
1349718|3|Cambridge
900949|1|Durham
3377|4|London
1349736|3|Cambridge
3400|3|London
452201|4|Oxford
3435|2|London
3444|4|London
901018|1|Durham
901058|1|Durham
452288|3|Oxford
452296|3|Oxford
3515|3|London
452309|4|Oxford
901098|3|Durham
452319|3|Oxford
3576|3|London
3578|2|London
1349944|1|Cambridge
1349963|1|Cambridge
901185|4|Durham
452410|4|Oxford
3636|2|London
452436|3|Oxford
901229|2|Durham
3730|1|London
901315|3|Durham
452538|3|Oxford
452569|4|Oxford
452571|1|Oxford
3791|2|London
901367|4|Durham
901383|3|Durham
452624|3|Oxford
452630|1|Oxford
901423|3|Durham
901424|3|Durham
901446|3|Durham
452660|2|Oxford
452670|1|Oxford
452685|3|Oxford
3900|3|London
1350259|4|Cambridge
3918|2|London
3923|3|London
452730|4|Oxford
901517|3|Durham
1350331|3|Cambridge
452792|2|Oxford
901585|3|Durham
4018|3|London
901608|3|Durham
901610|3|Durham
901645|3|Durham
452860|3|Oxford
452863|3|Oxford
1350435|3|Cambridge
452867|2|Oxford
4085|3|London
4088|3|London
4104|3|London
901686|2|Durham
1350495|4|Cambridge
452924|1|Oxford
901733|3|Durham
1350543|3|Cambridge
452972|1|Oxford
901784|3|Durham
452998|3|Oxford
453011|3|Oxford
4254|4|London
453046|1|Oxford
1350633|3|Cambridge
453079|3|Oxford
4312|2|London
453106|1|Oxford
453107|4|Oxford
453120|3|Oxford
901918|3|Durham
901946|2|Durham
453172|3|Oxford
4387|3|London
1350750|3|Cambridge
901967|3|Durham
901971|4|Durham
1350799|4|Cambridge
1350809|1|Cambridge
1350811|3|Cambridge
902033|3|Durham
453250|1|Oxford
453281|3|Oxford
902073|3|Durham
1350876|2|Cambridge
902095|4|Durham
1350891|3|Cambridge
4545|2|London
453338|2|Oxford
453339|3|Oxford
1350912|2|Cambridge
1350918|3|Cambridge
902152|2|Durham
4608|3|London
4674|3|London
1351061|4|Cambridge
1351066|3|Cambridge
1351068|4|Cambridge
4729|3|London
453532|3|Oxford
453535|3|Oxford
453536|3|Oxford
453547|1|Oxford
453574|4|Oxford
902392|3|Durham
453607|4|Oxford
902404|3|Durham
902406|4|Durham
4862|4|London
902464|1|Durham
4901|4|London
4910|2|London
453707|4|Oxford
453708|1|Oxford
4923|1|London
902495|3|Durham
453730|4|Oxford
902517|3|Durham
4946|4|London
1351319|3|Cambridge
1351337|3|Cambridge
5011|2|London
5016|3|London
1351381|4|Cambridge
1351386|3|Cambridge
5052|3|London
5075|3|London
453862|2|Oxford
453872|3|Oxford
5092|4|London
1351464|2|Cambridge
453895|3|Oxford
453907|2|Oxford
902736|1|Durham
453952|3|Oxford
902746|3|Durham
902747|3|Durham
1351542|4|Cambridge
902761|3|Durham
902763|4|Durham
1351579|4|Cambridge
454031|4|Oxford
454034|3|Oxford
5263|2|London
5270|4|London
1351632|2|Cambridge
902851|1|Durham
902852|1|Durham
1351638|3|Cambridge
454074|2|Oxford
5296|4|London
454085|3|Oxford
454133|3|Oxford
902944|3|Durham
902961|3|Durham
5391|2|London
1351769|3|Cambridge
454208|3|Oxford
903000|4|Durham
5429|1|London
5454|2|London
454257|4|Oxford
903044|3|Durham
5489|3|London
454276|2|Oxford
903096|3|Durham
5538|2|London
903116|3|Durham
454343|2|Oxford
903168|3|Durham
5627|4|London
5628|3|London
5631|4|London
1352000|4|Cambridge
454450|3|Oxford
454459|3|Oxford
903246|3|Durham
5679|3|London
903275|2|Durham
5713|3|London
903286|3|Durham
1352082|3|Cambridge
454519|3|Oxford
454568|3|Oxford
454583|2|Oxford
1352183|3|Cambridge
5826|2|London
454618|3|Oxford
454641|1|Oxford
5874|4|London
5878|4|London
1352253|3|Cambridge
454708|3|Oxford
5925|2|London
903499|2|Durham
454739|4|Oxford
454755|3|Oxford
903541|3|Durham
903570|4|Durham
454790|2|Oxford
6012|3|London
6019|3|London
1352383|3|Cambridge
6034|2|London
454831|2|Oxford
903629|2|Durham
6062|2|London
1352426|4|Cambridge
1352428|3|Cambridge
454870|4|Oxford
903664|4|Durham
454895|2|Oxford
454907|2|Oxford
454944|2|Oxford
6159|3|London
6189|3|London
903763|4|Durham
454990|3|Oxford
1352578|1|Cambridge
455016|1|Oxford
903804|3|Durham
1352616|3|Cambridge
903837|1|Durham
455059|3|Oxford
903857|4|Durham
6308|4|London
1352676|3|Cambridge
1352687|2|Cambridge
455119|3|Oxford
903915|3|Durham
1352702|2|Cambridge
455147|3|Oxford
903941|2|Durham
6373|3|London
6377|3|London
6380|4|London
455170|3|Oxford
1352743|2|Cambridge
6400|2|London
903976|3|Durham
903983|3|Durham
903996|3|Durham
455218|1|Oxford
1352790|3|Cambridge
904010|3|Durham
1352801|3|Cambridge
455233|2|Oxford
455235|1|Oxford
6456|3|London
6460|2|London
904050|3|Durham
455267|3|Oxford
455272|2|Oxford
904067|3|Durham
904068|3|Durham
904088|3|Durham
1352896|2|Cambridge
904124|2|Durham
904128|4|Durham
1352930|3|Cambridge
6577|4|London
6586|2|London
455397|3|Oxford
6612|3|London
6615|2|London
6619|4|London
6623|4|London
6630|3|London
455417|4|Oxford
904203|1|Durham
1352991|3|Cambridge
6656|4|London
904252|2|Durham
6683|2|London
6719|1|London
1353082|2|Cambridge
6730|4|London
455519|4|Oxford
6740|4|London
6751|4|London
6752|4|London
455550|3|Oxford
455571|3|Oxford
1353153|3|Cambridge
6826|3|London
1353199|2|Cambridge
455627|2|Oxford
904413|3|Durham
6843|4|London
1353224|4|Cambridge
1353256|4|Cambridge
904506|3|Durham
1353293|3|Cambridge
6942|3|London
455734|3|Oxford
6958|2|London
1353316|2|Cambridge
455755|3|Oxford
904557|1|Durham
1353344|3|Cambridge
1353353|3|Cambridge
1353358|4|Cambridge
1353373|3|Cambridge
455814|2|Oxford
7039|3|London
1353400|2|Cambridge
455840|3|Oxford
904637|2|Durham
7070|3|London
1353440|3|Cambridge
7085|2|London
7090|3|London
7109|4|London
1353469|3|Cambridge
904694|3|Durham
904706|3|Durham
455942|2|Oxford
904769|4|Durham
7206|3|London
7212|3|London
7230|1|London
456024|2|Oxford
7276|2|London
456065|4|Oxford
1353644|1|Cambridge
904861|2|Durham
1353653|3|Cambridge
7306|4|London
456093|3|Oxford
1353681|2|Cambridge
904917|3|Durham
7348|3|London
1353731|4|Cambridge
1353733|1|Cambridge
1353740|3|Cambridge
7383|2|London
904992|1|Durham
456207|1|Oxford
1353781|2|Cambridge
1353793|3|Cambridge
7438|3|London
456244|1|Oxford
7476|4|London
1353876|1|Cambridge
7525|1|London
7526|3|London
905101|3|Durham
905108|2|Durham
456339|3|Oxford
7556|2|London
1353917|3|Cambridge
905143|2|Durham
1353933|3|Cambridge
1353934|3|Cambridge
905149|2|Durham
1353936|1|Cambridge
1353996|3|Cambridge
456429|3|Oxford
905221|2|Durham
905223|4|Durham
905230|3|Durham
7687|2|London
7735|3|London
905339|2|Durham
456554|4|Oxford
1354133|2|Cambridge
456575|3|Oxford
456603|3|Oxford
456609|4|Oxford
1354187|3|Cambridge
905408|2|Durham
1354195|3|Cambridge
456624|3|Oxford
1354208|1|Cambridge
456636|3|Oxford
1354209|2|Cambridge
1354223|2|Cambridge
456652|4|Oxford
1354227|1|Cambridge
905478|3|Durham
7907|3|London
1354306|4|Cambridge
7964|2|London
7971|4|London
456764|3|Oxford
1354347|2|Cambridge
456787|3|Oxford
905573|3|Durham
905599|2|Durham
905604|3|Durham
8041|3|London
456830|3|Oxford
8047|4|London
456856|1|Oxford
1354443|1|Cambridge
456882|2|Oxford
1354455|2|Cambridge
905686|2|Durham
8128|4|London
1354504|2|Cambridge
456938|3|Oxford
905735|3|Durham
456953|3|Oxford
905746|3|Durham
456962|4|Oxford
457004|2|Oxford
905800|1|Durham
8234|3|London
8240|2|London
8263|4|London
8264|3|London
905840|3|Durham
1354634|1|Cambridge
8279|3|London
457081|4|Oxford
905872|4|Durham
8331|1|London
1354692|2|Cambridge
457127|2|Oxford
905919|3|Durham
1354708|2|Cambridge
8359|3|London
8362|4|London
1354743|1|Cambridge
457180|3|Oxford
905967|4|Durham
1354778|4|Cambridge
906004|3|Durham
1354790|3|Cambridge
8437|3|London
1354816|2|Cambridge
8469|3|London
906105|1|Durham
457326|3|Oxford
906115|2|Durham
906130|4|Durham
906140|4|Durham
906142|4|Durham
8607|3|London
1354968|3|Cambridge
457411|3|Oxford
906204|3|Durham
1354993|3|Cambridge
8643|3|London
457446|2|Oxford
457448|2|Oxford
8673|4|London
1355045|4|Cambridge
906260|2|Durham
8690|4|London
457502|4|Oxford
457505|3|Oxford
1355079|3|Cambridge
906305|3|Durham
906309|2|Durham
906332|3|Durham
8793|2|London
1355169|2|Cambridge
8821|2|London
1355180|3|Cambridge
8868|3|London
1355229|4|Cambridge
906446|3|Durham
8918|3|London
906494|3|Durham
1355293|3|Cambridge
906509|2|Durham
1355303|3|Cambridge
1355306|3|Cambridge
457734|1|Oxford
457743|4|Oxford
1355319|3|Cambridge
457752|4|Oxford
8980|3|London
8981|3|London
457771|3|Oxford
1355343|4|Cambridge
8991|1|London
1355360|3|Cambridge
457790|2|Oxford
906590|3|Durham
457807|3|Oxford
9021|2|London
1355381|3|Cambridge
906609|2|Durham
457823|3|Oxford
906611|4|Durham
457826|3|Oxford
1355441|3|Cambridge
457878|4|Oxford
457887|4|Oxford
9107|3|London
906694|3|Durham
457924|4|Oxford
1355521|3|Cambridge
1355524|4|Cambridge
1355538|2|Cambridge
457967|1|Oxford
9194|1|London
906770|2|Durham
1355558|3|Cambridge
906811|4|Durham
1355602|3|Cambridge
458038|3|Oxford
458047|3|Oxford
906851|4|Durham
458078|3|Oxford
1355657|4|Cambridge
9308|3|London
906903|1|Durham
458120|2|Oxford
9338|3|London
9366|4|London
458159|3|Oxford
1355732|3|Cambridge
906949|3|Durham
458169|2|Oxford
458170|2|Oxford
907011|2|Durham
1355798|3|Cambridge
458232|3|Oxford
9453|3|London
9477|3|London
907050|3|Durham
1355843|1|Cambridge
9501|3|London
907085|4|Durham
907097|4|Durham
1355884|1|Cambridge
458318|2|Oxford
907107|2|Durham
9553|2|London
458340|3|Oxford
1355928|2|Cambridge
9597|2|London
9598|4|London
9614|4|London
907208|4|Durham
9636|3|London
1356011|1|Cambridge
907239|3|Durham
9675|2|London
907251|3|Durham
907257|3|Durham
1356047|4|Cambridge
9704|3|London
1356086|2|Cambridge
458525|3|Oxford
458527|3|Oxford
458533|3|Oxford
458555|3|Oxford
9804|3|London
9812|3|London
1356188|3|Cambridge
1356192|4|Cambridge
907421|2|Durham
9852|2|London
458640|4|Oxford
458647|3|Oxford
1356221|2|Cambridge
1356224|3|Cambridge
907446|4|Durham
1356240|2|Cambridge
9883|3|London
907456|3|Durham
907467|3|Durham
907489|2|Durham
1356282|1|Cambridge
458720|3|Oxford
1356295|3|Cambridge
9954|3|London
907548|2|Durham
907574|2|Durham
1356364|3|Cambridge
907579|3|Durham
907584|1|Durham
10023|3|London
1356399|3|Cambridge
10046|3|London
907622|4|Durham
458843|4|Oxford
907655|2|Durham
1356463|3|Cambridge
1356480|2|Cambridge
907705|3|Durham
458923|3|Oxford
10150|3|London
10186|2|London
10199|3|London
1356559|3|Cambridge
458990|4|Oxford
907780|4|Durham
1356592|3|Cambridge
459032|2|Oxford
1356619|4|Cambridge
1356621|4|Cambridge
459071|3|Oxford
10288|3|London
10289|3|London
907881|3|Durham
907935|2|Durham
459171|2|Oxford
1356766|3|Cambridge
907983|3|Durham
1356798|1|Cambridge
908015|3|Durham
1356806|3|Cambridge
10452|3|London
10454|3|London
459252|3|Oxford
10490|2|London
908108|4|Durham
10544|4|London
459368|2|Oxford
459370|2|Oxford
1356949|1|Cambridge
459380|2|Oxford
10630|3|London
459425|4|Oxford
1357016|3|Cambridge
10665|2|London
908245|2|Durham
459480|2|Oxford
1357057|1|Cambridge
1357083|3|Cambridge
1357086|2|Cambridge
459521|3|Oxford
10753|3|London
10765|1|London
10772|3|London
1357136|2|Cambridge
908364|4|Durham
459580|3|Oxford
908369|1|Durham
459592|3|Oxford
459594|2|Oxford
908387|4|Durham
10823|3|London
908422|1|Durham
1357211|4|Cambridge
908446|3|Durham
1357238|3|Cambridge
908455|3|Durham
459686|3|Oxford
10901|3|London
10906|3|London
10907|4|London
459719|2|Oxford
908510|2|Durham
1357298|2|Cambridge
459732|3|Oxford
1357315|1|Cambridge
908543|3|Durham
1357342|4|Cambridge
908563|3|Durham
1357361|2|Cambridge
459803|3|Oxford
11040|3|London
1357408|3|Cambridge
459851|1|Oxford
459855|4|Oxford
11069|3|London
459859|3|Oxford
1357451|3|Cambridge
459888|3|Oxford
459889|3|Oxford
11115|1|London
908702|2|Durham
908704|3|Durham
908716|3|Durham
908717|3|Durham
459936|2|Oxford
459937|3|Oxford
908752|4|Durham
11197|3|London
908786|3|Durham
908801|3|Durham
11234|2|London
11247|4|London
908833|3|Durham
460048|4|Oxford
11272|3|London
1357632|3|Cambridge
11278|2|London
460074|3|Oxford
908871|3|Durham
908873|3|Durham
1357666|2|Cambridge
1357684|4|Cambridge
1357696|3|Cambridge
460153|3|Oxford
460170|2|Oxford
460180|1|Oxford
908968|2|Durham
1357754|3|Cambridge
1357755|3|Cambridge
11408|3|London
1357770|3|Cambridge
460203|4|Oxford
11417|1|London
1357780|1|Cambridge
908997|3|Durham
1357799|3|Cambridge
460234|2|Oxford
460241|3|Oxford
909052|2|Durham
460297|2|Oxford
1357872|3|Cambridge
460307|2|Oxford
11525|3|London
909111|3|Durham
909131|3|Durham
1357929|2|Cambridge
11602|4|London
460398|2|Oxford
909197|3|Durham
1358006|1|Cambridge
11653|4|London
460449|3|Oxford
909236|3|Durham
909237|3|Durham
11676|1|London
11685|3|London
909264|4|Durham
11697|3|London
1358058|2|Cambridge
1358065|3|Cambridge
909288|4|Durham
1358081|3|Cambridge
11734|1|London
460526|3|Oxford
11760|4|London
1358119|3|Cambridge
909347|3|Durham
909357|3|Durham
909358|4|Durham
1358156|2|Cambridge
909380|3|Durham
909383|4|Durham
460601|4|Oxford
460607|3|Oxford
1358181|4|Cambridge
1358190|2|Cambridge
460634|3|Oxford
1358247|3|Cambridge
909479|2|Durham
909493|2|Durham
11937|3|London
11946|3|London
460756|3|Oxford
1358335|3|Cambridge
460789|4|Oxford
12008|3|London
12033|3|London
909614|2|Durham
460832|2|Oxford
12063|3|London
12086|4|London
1358459|3|Cambridge
1358467|2|Cambridge
460896|4|Oxford
12118|4|London
1358493|3|Cambridge
12147|4|London
1358520|1|Cambridge
12175|1|London
909751|2|Durham
460967|3|Oxford
460982|3|Oxford
909779|3|Durham
460996|3|Oxford
909788|1|Durham
909791|1|Durham
12219|3|London
909797|3|Durham
461012|2|Oxford
909811|3|Durham
461031|3|Oxford
12248|2|London
1358638|4|Cambridge
12285|4|London
12288|3|London
12298|4|London
909889|3|Durham
1358680|4|Cambridge
12329|3|London
461133|3|Oxford
1358718|2|Cambridge
12412|3|London
909987|4|Durham
461224|4|Oxford
461232|3|Oxford
910022|3|Durham
12461|3|London
12468|1|London
12480|2|London
461273|3|Oxford
910072|4|Durham
12505|2|London
461297|2|Oxford
461371|2|Oxford
461400|4|Oxford
12618|3|London
12636|3|London
461424|3|Oxford
910240|3|Durham
461486|3|Oxford
12703|1|London
461498|3|Oxford
461507|3|Oxford
12732|3|London
1359090|3|Cambridge
1359104|2|Cambridge
461588|3|Oxford
910375|4|Durham
461626|3|Oxford
1359211|1|Cambridge
461647|3|Oxford
461660|4|Oxford
910464|4|Durham
910493|2|Durham
1359291|3|Cambridge
910511|3|Durham
1359335|2|Cambridge
461769|3|Oxford
1359341|3|Cambridge
12986|3|London
910575|1|Durham
1359396|3|Cambridge
13051|2|London
13060|2|London
1359437|4|Cambridge
910677|2|Durham
461916|3|Oxford
1359498|3|Cambridge
13145|2|London
1359504|3|Cambridge
461932|2|Oxford
910720|4|Durham
910723|3|Durham
13159|2|London
461960|3|Oxford
1359547|2|Cambridge
1359548|3|Cambridge
13216|3|London
1359582|3|Cambridge
462025|4|Oxford
462028|3|Oxford
13243|4|London
1359607|3|Cambridge
1359628|3|Cambridge
1359659|4|Cambridge
910887|3|Durham
13322|4|London
13324|3|London
462113|3|Oxford
462133|4|Oxford
462165|2|Oxford
1359738|3|Cambridge
13397|4|London
462185|3|Oxford
462186|4|Oxford
910982|3|Durham
1359791|3|Cambridge
13433|3|London
911039|3|Durham
1359826|3|Cambridge
13477|4|London
13485|4|London
462277|3|Oxford
13492|2|London
13497|1|London
13504|2|London
462314|4|Oxford
911100|2|Durham
13535|2|London
13561|3|London
13573|4|London
462362|2|Oxford
462363|3|Oxford
462367|2|Oxford
1359940|3|Cambridge
462372|2|Oxford
462395|3|Oxford
911187|3|Durham
1359977|3|Cambridge
462415|4|Oxford
1360000|3|Cambridge
462434|4|Oxford
462455|3|Oxford
1360028|1|Cambridge
1360032|2|Cambridge
911254|3|Durham
1360048|1|Cambridge
462477|4|Oxford
13720|2|London
1360098|3|Cambridge
462533|2|Oxford
911331|3|Durham
1360119|4|Cambridge
462583|3|Oxford
462590|3|Oxford
1360169|4|Cambridge
13813|2|London
462612|3|Oxford
1360198|4|Cambridge
911425|2|Durham
13862|2|London
1360236|3|Cambridge
13899|3|London
1360264|1|Cambridge
1360284|3|Cambridge
462718|3|Oxford
911514|2|Durham
1360303|3|Cambridge
13975|2|London
1360341|3|Cambridge
462779|4|Oxford
1360373|3|Cambridge
462802|3|Oxford
462808|4|Oxford
911601|4|Durham
911603|3|Durham
1360412|2|Cambridge
14063|4|London
14083|3|London
462875|1|Oxford
462881|4|Oxford
911693|3|Durham
14124|3|London
14157|3|London
1360540|2|Cambridge
14184|2|London
1360545|3|Cambridge
911774|2|Durham
14222|3|London
911796|3|Durham
911802|1|Durham
463017|2|Oxford
1360590|2|Cambridge
1360593|1|Cambridge
463026|2|Oxford
911815|3|Durham
911823|2|Durham
911831|2|Durham
911840|3|Durham
1360637|3|Cambridge
463066|1|Oxford
1360648|1|Cambridge
463100|3|Oxford
14335|4|London
14338|4|London
463125|3|Oxford
14348|3|London
14352|3|London
1360719|1|Cambridge
1360721|4|Cambridge
14409|4|London
463205|1|Oxford
14440|2|London
14447|3|London
463236|3|Oxford
14457|1|London
463252|4|Oxford
463260|2|Oxford
14482|2|London
1360850|3|Cambridge
1360884|3|Cambridge
463313|4|Oxford
1360887|3|Cambridge
463315|3|Oxford
463342|3|Oxford
912139|3|Durham
14570|4|London
912148|4|Durham
1360982|4|Cambridge
14629|3|London
912211|2|Durham
1360998|3|Cambridge
1361025|3|Cambridge
912249|1|Durham
1361040|3|Cambridge
1361041|3|Cambridge
912262|3|Durham
463484|3|Oxford
463494|2|Oxford
14717|4|London
14746|2|London
1361124|3|Cambridge
463552|3|Oxford
14770|4|London
463571|3|Oxford
912374|3|Durham
463599|1|Oxford
1361204|2|Cambridge
14857|3|London
1361216|3|Cambridge
463647|3|Oxford
463651|1|Oxford
1361229|3|Cambridge
14893|2|London
14894|3|London
1361258|4|Cambridge
1361278|3|Cambridge
912492|3|Durham
14921|4|London
912504|2|Durham
1361300|3|Cambridge
912528|4|Durham
14972|3|London
463775|2|Oxford
912564|3|Durham
463779|3|Oxford
463780|4|Oxford
1361356|3|Cambridge
912572|4|Durham
463794|3|Oxford
1361368|3|Cambridge
912592|2|Durham
463813|3|Oxford
463814|2|Oxford
1361404|2|Cambridge
463834|3|Oxford
1361427|3|Cambridge
1361429|3|Cambridge
15090|2|London
912678|3|Durham
1361494|3|Cambridge
1361495|4|Cambridge
1361518|3|Cambridge
15174|3|London
463962|4|Oxford
912749|3|Durham
463963|4|Oxford
912751|3|Durham
463969|4|Oxford
1361547|3|Cambridge
912771|2|Durham
1361581|4|Cambridge
15223|1|London
464024|2|Oxford
15241|2|London
15253|3|London
15257|3|London
464053|3|Oxford
1361646|2|Cambridge
912863|2|Durham
912880|4|Durham
912925|3|Durham
15365|3|London
15377|4|London
912950|3|Durham
1361748|4|Cambridge
1361751|3|Cambridge
464180|4|Oxford
464187|3|Oxford
464193|3|Oxford
913015|2|Durham
464234|2|Oxford
1361811|3|Cambridge
464242|3|Oxford
464247|3|Oxford
913034|2|Durham
913047|4|Durham
913063|3|Durham
1361861|3|Cambridge
1361864|3|Cambridge
913079|1|Durham
15511|4|London
1361881|3|Cambridge
1361882|1|Cambridge
1361891|2|Cambridge
15535|2|London
464339|3|Oxford
464352|3|Oxford
1361925|3|Cambridge
1361926|4|Cambridge
1361931|3|Cambridge
1361940|3|Cambridge
913188|3|Durham
1361974|3|Cambridge
913191|3|Durham
1361988|3|Cambridge
1361999|2|Cambridge
913216|2|Durham
913236|3|Durham
464490|4|Oxford
1362081|3|Cambridge
913307|4|Durham
15753|3|London
1362113|1|Cambridge
1362121|2|Cambridge
1362127|1|Cambridge
15772|2|London
15782|4|London
913361|2|Durham
1362153|2|Cambridge
913399|2|Durham
15834|3|London
1362196|3|Cambridge
1362208|4|Cambridge
913423|1|Durham
15876|3|London
15877|3|London
913463|3|Durham
15898|3|London
464697|3|Oxford
464721|3|Oxford
15950|3|London
913545|4|Durham
464770|2|Oxford
1362350|3|Cambridge
1362368|4|Cambridge
1362385|1|Cambridge
913604|3|Durham
1362402|1|Cambridge
464834|3|Oxford
1362410|3|Cambridge
1362422|3|Cambridge
464857|4|Oxford
464897|3|Oxford
16112|3|London
16121|1|London
16133|3|London
913707|3|Durham
464921|1|Oxford
16143|3|London
913717|3|Durham
464932|2|Oxford
16184|2|London
1362542|1|Cambridge
464989|3|Oxford
16219|1|London
1362583|4|Cambridge
913797|3|Durham
913830|2|Durham
16260|4|London
465055|3|Oxford
465061|3|Oxford
16277|2|London
913868|3|Durham
913869|1|Durham
16301|4|London
465107|4|Oxford
16348|3|London
465149|4|Oxford
465152|1|Oxford
1362730|2|Cambridge
16381|3|London
913956|3|Durham
16392|3|London
16402|1|London
16411|2|London
465215|1|Oxford
16434|2|London
465227|2|Oxford
465232|2|Oxford
914020|3|Durham
465247|3|Oxford
465256|1|Oxford
914047|2|Durham
465262|4|Oxford
914061|4|Durham
16499|4|London
